AGGR_YM,VDS_ID,ROAD_KIND_TP_SE_CD,VMTC,SHARE,AVRG_VE,NORMAL_CNT,REVISION_CNT,LAST_CHANGE_TIME
202109,0010VDE00100,1,1134199,1.93,82.81,86232,159,20211001083047
202109,0010VDE00200,1,1129056,1.92,94.38,86219,173,20211001083047
202109,0010VDE00300,1,1098685,1.90,88.56,86200,189,20211001083047
202109,0010VDE00400,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE00500,1,845783,1.38,94.22,85944,249,20211001083047
202109,0010VDE00600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE00700,1,1072284,1.84,95.30,84533,188,20211001083047
202109,0010VDE00800,1,1018308,3.79,98.76,84152,425,20211001083047
202109,0010VDE00900,1,1118187,3.01,99.49,79981,3220,20211001083047
202109,0010VDE01000,1,1101482,2.27,99.59,85995,389,20211001083047
202109,0010VDE01100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE01200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE01300,1,562078,1.24,90.92,86084,304,20211001083047
202109,0010VDE01500,1,1464542,2.24,94.04,86131,204,20211001083047
202109,0010VDE01600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE01700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE01800,1,1424053,1.89,89.82,84319,305,20211001083047
202109,0010VDE01900,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE02000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE02100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE02200,1,1182485,2.02,92.88,86211,183,20211001083047
202109,0010VDE02300,1,1182815,2.03,88.89,86374,24,20211001083047
202109,0010VDE02400,1,1174035,2.03,101.46,84564,97,20211001083047
202109,0010VDE02500,1,1417698,2.36,100.29,85220,931,20211001083047
202109,0010VDE02600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE02700,1,1168574,2.02,97.81,84452,206,20211001083047
202109,0010VDE02800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE02850,1,1242628,2.02,97.79,82519,1555,20211001083047
202109,0010VDE02900,1,1156987,2.01,100.09,83918,330,20211001083047
202109,0010VDE03000,1,1169684,2.02,97.37,84617,58,20211001083047
202109,0010VDE03100,1,1189405,2.91,98.44,86367,32,20211001083047
202109,0010VDE03200,1,1172834,2.00,89.80,86206,186,20211001083047
202109,0010VDE03300,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE03400,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE03500,1,926633,1.64,100.23,86089,305,20211001083047
202109,0010VDE03600,1,713189,1.85,108.31,86257,139,20211001083047
202109,0010VDE03700,1,977569,1.70,101.06,86364,35,20211001083047
202109,0010VDE03800,1,973759,2.57,88.90,86130,260,20211001083047
202109,0010VDE04000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE04100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE04105,1,762510,3.40,99.06,85786,603,20211001083047
202109,0010VDE04110,1,762094,3.29,103.33,86001,397,20211001083047
202109,0010VDE04115,1,761648,3.34,99.71,86011,388,20211001083047
202109,0010VDE04120,1,630119,2.82,101.52,86008,390,20211001083047
202109,0010VDE04125,1,669582,3.24,95.45,86001,394,20211001083047
202109,0010VDE04130,1,760545,3.59,92.07,86005,393,20211001083047
202109,0010VDE04135,1,760522,3.37,94.46,86008,390,20211001083047
202109,0010VDE04140,1,761337,3.43,95.25,86010,388,20211001083047
202109,0010VDE04145,1,760228,3.48,91.54,86010,388,20211001083047
202109,0010VDE04150,1,760432,3.54,92.82,86011,387,20211001083047
202109,0010VDE04155,1,760983,3.48,94.51,86011,387,20211001083047
202109,0010VDE04160,1,760899,3.57,92.25,86011,387,20211001083047
202109,0010VDE04165,1,759170,4.00,90.66,86016,382,20211001083047
202109,0010VDE04170,1,760239,3.42,94.85,86010,388,20211001083047
202109,0010VDE04175,1,784306,3.25,99.86,85889,492,20211001083047
202109,0010VDE04180,1,766142,3.50,91.21,85656,713,20211001083047
202109,0010VDE04185,1,711777,3.13,100.49,85787,599,20211001083047
202109,0010VDE04190,1,723924,2.98,105.46,86001,397,20211001083047
202109,0010VDE04195,1,724933,2.90,109.47,86011,387,20211001083047
202109,0010VDE04200,1,806855,2.98,105.76,85964,417,20211001083047
202109,0010VDE04205,1,723025,3.08,101.29,86007,391,20211001083047
202109,0010VDE04210,1,521412,2.56,114.19,86006,392,20211001083047
202109,0010VDE04215,1,724411,2.98,107.94,86011,387,20211001083047
202109,0010VDE04220,1,724952,3.00,106.61,86010,388,20211001083047
202109,0010VDE04225,1,724807,3.12,103.89,85998,400,20211001083047
202109,0010VDE04230,1,725741,3.26,98.08,85747,639,20211001083047
202109,0010VDE04235,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE04240,1,793942,3.48,98.09,86056,258,20211001083047
202109,0010VDE04245,1,794866,3.44,102.14,86291,27,20211001083047
202109,0010VDE04250,1,794761,3.33,102.67,86293,24,20211001083047
202109,0010VDE04255,1,877105,3.37,100.98,86260,46,20211001083047
202109,0010VDE04260,1,794481,3.46,98.63,86297,21,20211001083047
202109,0010VDE04265,1,795330,3.51,97.53,86291,26,20211001083047
202109,0010VDE04270,1,692904,3.12,101.12,86297,20,20211001083047
202109,0010VDE04275,1,794354,3.44,99.73,86294,24,20211001083047
202109,0010VDE04280,1,794630,3.40,102.93,86029,284,20211001083047
202109,0010VDE04285,1,829593,3.48,103.29,86068,246,20211001083047
202109,0010VDE04290,1,828247,3.54,100.45,86284,33,20211001083047
202109,0010VDE04295,1,827360,3.70,94.27,86298,20,20211001083047
202109,0010VDE04300,1,822268,3.64,95.24,86299,17,20211001083047
202109,0010VDE04305,1,828605,3.35,105.85,86298,20,20211001083047
202109,0010VDE04310,1,828703,3.40,105.06,86298,20,20211001083047
202109,0010VDE04315,1,828989,3.53,101.89,86297,21,20211001083047
202109,0010VDE04320,1,828092,3.39,104.77,86297,21,20211001083047
202109,0010VDE04325,1,829563,3.45,103.43,86298,21,20211001083047
202109,0010VDE04330,1,829786,3.53,106.16,86290,27,20211001083047
202109,0010VDE04335,1,830935,3.21,91.06,86093,221,20211001083047
202109,0010VDE04340,1,436005,2.06,106.79,85937,369,20211001083047
202109,0010VDE04345,1,435123,2.03,108.94,86274,43,20211001083047
202109,0010VDE04350,1,435616,2.10,105.32,86284,33,20211001083047
202109,0010VDE04355,1,436069,2.06,107.23,85940,367,20211001083047
202109,0010VDE04400,1,555103,2.71,93.90,84103,321,20211001083047
202109,0010VDE04500,1,601995,2.75,100.59,86279,38,20211001083047
202109,0010VDE04600,1,603207,2.70,105.07,86285,32,20211001083047
202109,0010VDE04700,1,685758,2.70,103.96,86263,43,20211001083047
202109,0010VDE04800,1,602893,2.73,102.24,86015,292,20211001083047
202109,0010VDE04900,1,603254,2.81,97.96,86054,251,20211001083047
202109,0010VDE05000,1,681351,2.73,102.60,83945,1806,20211001083047
202109,0010VDE05100,1,602863,2.67,106.78,86293,23,20211001083047
202109,0010VDE05200,1,679942,2.68,105.85,83752,1933,20211001083047
202109,0010VDE05300,1,602970,2.70,104.34,85953,354,20211001083047
202109,0010VDE05400,1,601975,2.81,96.46,85991,318,20211001083047
202109,0010VDE05500,1,682315,2.78,99.28,86234,64,20211001083047
202109,0010VDE05600,1,602412,2.78,101.46,86300,18,20211001083047
202109,0010VDE05700,1,602567,2.65,106.41,86276,41,20211001083047
202109,0010VDE05800,1,602316,2.77,101.87,86294,23,20211001083047
202109,0010VDE05900,1,681591,2.75,102.14,84066,1711,20211001083047
202109,0010VDE06000,1,602902,2.78,101.50,85994,312,20211001083047
202109,0010VDE06100,1,583332,3.09,97.28,86061,239,20211001083047
202109,0010VDE06200,1,1030387,3.41,93.37,86298,19,20211001083047
202109,0010VDE06300,1,1030675,3.52,90.11,86280,37,20211001083047
202109,0010VDE06400,1,1029208,3.51,92.79,86107,207,20211001083047
202109,0010VDE06500,1,1128879,3.47,91.80,83586,1881,20211001083047
202109,0010VDE06600,1,1135370,3.46,92.69,83929,1782,20211001083047
202109,0010VDE06700,1,1030564,3.45,93.26,86107,205,20211001083047
202109,0010VDE06800,1,1030681,3.45,92.34,86297,20,20211001083047
202109,0010VDE06900,1,451659,2.38,110.01,86099,211,20211001083047
202109,0010VDE07000,1,765102,2.69,100.18,86058,244,20211001083047
202109,0010VDE07100,1,363854,5.40,94.04,18340,30,20211001083047
202109,0010VDE07200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE07300,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE07400,1,1561960,4.85,104.44,85780,432,20211001083047
202109,0010VDE07500,1,2104704,6.33,99.74,86203,113,20211001083047
202109,0010VDE07600,1,2199946,6.35,99.99,84323,1295,20211001083047
202109,0010VDE07700,1,2116625,6.45,99.56,86235,80,20211001083047
202109,0010VDE07800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE07900,1,2216631,6.61,98.01,84164,1505,20211001083047
202109,0010VDE08000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE08100,1,2120609,6.85,95.40,86237,79,20211001083047
202109,0010VDE08200,1,2186228,6.81,94.83,86243,71,20211001083047
202109,0010VDE08300,1,2309379,6.84,95.94,84079,1418,20211001083047
202109,0010VDE08400,1,2267716,6.95,96.26,86237,76,20211001083047
202109,0010VDE08500,1,2275890,7.52,92.77,86256,60,20211001083047
202109,0010VDE08600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE08700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE08800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE08900,1,1718079,5.10,106.34,86294,25,20211001083047
202109,0010VDE09000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE09100,1,1835077,5.10,101.06,86217,77,20211001083047
202109,0010VDE09200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE09300,1,1722550,5.14,94.83,86296,22,20211001083047
202109,0010VDE09400,1,1825613,5.08,100.25,86070,156,20211001083047
202109,0010VDE09500,1,1720572,5.05,105.20,86288,31,20211001083047
202109,0010VDE09600,1,1722124,5.10,97.69,86293,25,20211001083047
202109,0010VDE09700,1,27816,4.64,95.17,1670,10,20211001083047
202109,0010VDE09800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE09900,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE10000,1,28228,4.72,95.61,1662,18,20211001083047
202109,0010VDE10100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE10200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE10300,1,1366153,4.04,108.91,86285,34,20211001083047
202109,0010VDE10400,1,1476422,4.12,101.38,86065,193,20211001083047
202109,0010VDE10500,1,1368884,4.25,93.21,86300,19,20211001083047
202109,0010VDE10600,1,1366063,4.16,96.05,86299,20,20211001083047
202109,0010VDE10700,1,1373533,1.76,97.80,86297,22,20211001083047
202109,0010VDE10800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE10900,1,1457402,2.47,94.45,86286,27,20211001083047
202109,0010VDE11000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE11100,1,1321303,3.24,90.74,86300,19,20211001083047
202109,0010VDE11200,1,1367201,4.17,94.66,86299,20,20211001083047
202109,0010VDE11300,1,1370060,4.35,90.63,86299,20,20211001083047
202109,0010VDE11400,1,1219589,3.63,97.80,86299,20,20211001083047
202109,0010VDE11500,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE11650,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE11700,1,642333,3.62,108.24,86275,43,20211001083047
202109,0010VDE11800,1,1178669,3.85,98.00,86293,25,20211001083047
202109,0010VDE11900,1,488908,3.05,109.62,86291,28,20211001083047
202109,0010VDE12000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12200,1,543219,3.27,114.08,86281,38,20211001083047
202109,0010VDE12300,1,1052224,3.50,93.91,86295,24,20211001083047
202109,0010VDE12400,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12500,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE12900,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE13000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE13100,1,666326,2.70,95.57,85648,481,20211001083047
202109,0010VDE13200,1,730456,2.75,93.56,81014,3513,20211001083047
202109,0010VDE13300,1,669367,2.84,89.56,86259,54,20211001083047
202109,0010VDE13400,1,690204,2.67,94.28,73835,6603,20211001083047
202109,0010VDE13500,1,672087,2.67,97.79,84685,1199,20211001083047
202109,0010VDE13600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE13650,1,-1,-1.00,-1.00,83666,1682,20211001083047
202109,0010VDE13651,1,-1,-1.00,-1.00,80803,2709,20211001083047
202109,0010VDE13700,1,517544,2.45,98.76,85740,520,20211001083047
202109,0010VDE13800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE13900,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14100,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14300,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14400,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14500,1,552070,2.51,93.19,85825,432,20211001083047
202109,0010VDE14600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE14800,1,531505,2.10,99.29,84746,1098,20211001083047
202109,0010VDE14900,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE15000,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE15100,1,523697,2.29,99.34,84818,435,20211001083047
202109,0010VDE15200,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE15300,1,586680,2.40,97.03,77284,5306,20211001083047
202109,0010VDE15400,1,531999,2.34,95.58,85295,839,20211001083047
202109,0010VDE15500,1,529140,3.10,93.39,85568,657,20211001083047
202109,0010VDE15600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE15700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE15800,1,441829,2.37,97.15,79642,5857,20211001083047
202109,0010VDE15900,1,592105,1.52,77.90,76097,9739,20211001083047
202109,0010VDE16000,1,615520,2.28,90.80,79089,6537,20211001083047
202109,0010VDE16100,1,534660,2.64,97.87,86179,144,20211001083047
202109,0010VDE16200,1,538791,2.59,99.40,80967,5066,20211001083047
202109,0010VDE16300,1,557512,2.13,94.90,86185,121,20211001083047
202109,0010VDE16400,1,534853,1.70,101.56,86285,40,20211001083047
202109,0010VDE16500,1,529730,2.16,100.94,86302,22,20211001083047
202109,0010VDE16600,1,571079,2.32,88.23,86251,70,20211001083047
202109,0010VDE16700,1,515980,2.44,98.09,86091,227,20211001083047
202109,0010VDE16800,1,435520,2.47,99.86,41467,24870,20211001083047
202109,0010VDE16900,1,536358,2.21,98.66,86196,124,20211001083047
202109,0010VDE17000,1,527652,1.84,103.61,86099,216,20211001083047
202109,0010VDE17100,1,620929,2.26,98.35,85672,467,20211001083047
202109,0010VDE17200,1,532941,2.71,92.23,86293,31,20211001083047
202109,0010VDE17300,1,601001,2.68,101.19,86135,127,20211001083047
202109,0010VDE17400,1,532342,2.41,100.49,86304,20,20211001083047
202109,0010VDE17500,1,525901,2.44,96.62,86303,21,20211001083047
202109,0010VDE17600,1,531407,2.39,94.82,86297,27,20211001083047
202109,0010VDE17700,1,532702,2.72,91.29,86085,232,20211001083047
202109,0010VDE17800,1,506700,2.76,95.03,85594,283,20211001083047
202109,0010VDE17900,1,553074,2.02,88.85,86189,124,20211001083047
202109,0010VDE17951,1,566560,0.35,90.29,85587,707,20211001083047
202109,0010VDE17952,1,568472,0.35,93.08,85588,707,20211001083047
202109,0010VDE17953,1,562216,0.34,90.45,85587,708,20211001083047
202109,0010VDE17955,1,563509,0.33,88.94,85588,707,20211001083047
202109,0010VDE17956,1,567339,0.34,89.65,85587,708,20211001083047
202109,0010VDE17957,1,567817,0.36,91.32,85588,707,20211001083047
202109,0010VDE18540,1,561806,4.36,86.13,86297,28,20211001083047
202109,0010VDE18561,1,562254,4.01,90.20,86303,22,20211001083047
202109,0010VDE18562,1,561846,4.02,90.45,86292,32,20211001083047
202109,0010VDE18563,1,561929,3.63,92.69,86304,21,20211001083047
202109,0010VDE18564,1,562450,3.54,94.67,86254,32,20211001083047
202109,0010VDE18565,1,562575,3.59,94.87,86239,44,20211001083047
202109,0010VDE18566,1,562473,3.40,96.71,85809,390,20211001083047
202109,0010VDE18700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE18800,1,276548,3.07,113.58,85897,412,20211001083047
202109,0010VDE18900,1,577177,4.35,95.23,86297,27,20211001083047
202109,0010VDE19000,1,582634,4.78,90.60,86308,16,20211001083047
202109,0010VDE19100,1,589266,5.06,89.84,86303,21,20211001083047
202109,0010VDE19200,1,574826,4.72,79.28,86051,264,20211001083047
202109,0010VDE19800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE19900,1,556387,2.80,101.83,86052,258,20211001083047
202109,0010VDE20000,1,779023,3.29,98.12,82608,2157,20211001083047
202109,0010VDE20100,1,835799,3.77,94.30,86303,21,20211001083047
202109,0010VDE20110,1,580309,4.45,86.40,86303,22,20211001083047
202109,0010VDE20203,1,926009,3.53,99.68,86278,39,20211001083047
202109,0010VDE20300,1,835583,3.73,99.35,86297,25,20211001083047
202109,0010VDE20400,1,835726,3.49,99.25,86272,50,20211001083047
202109,0010VDE20500,1,834714,3.40,95.35,86281,40,20211001083047
202109,0010VDE20600,1,715932,3.54,91.72,78412,5446,20211001083047
202109,0010VDE20750,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE20780,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE20800,1,1029054,5.64,97.07,86292,32,20211001083047
202109,0010VDE20900,1,331991,4.10,91.40,86304,20,20211001083047
202109,0010VDE21000,1,1410057,7.81,98.57,86298,27,20211001083047
202109,0010VDE21100,1,1340132,10.87,84.05,86304,20,20211001083047
202109,0010VDE21200,1,1229514,6.23,88.47,86307,18,20211001083047
202109,0010VDE21210,1,534519,10.00,81.30,86269,55,20211001083047
202109,0010VDE21310,1,85395,13.27,40.31,86233,91,20211001083047
202109,0010VDE21350,1,1388397,5.98,95.44,86306,19,20211001083047
202109,0010VDE21400,1,1021063,5.27,86.54,86304,21,20211001083047
202109,0010VDE21500,1,983024,4.66,83.26,86302,22,20211001083047
202109,0010VDE21510,1,-1,-1.00,-1.00,86305,17,20211001083047
202109,0010VDE21600,1,1258981,7.90,79.95,86303,22,20211001083047
202109,0010VDE21610,1,200,10.69,44.58,85131,437,20211001083047
202109,0010VDE21700,1,1114312,5.34,86.16,86309,17,20211001083047
202109,0010VDE21800,1,463592,5.13,90.03,86296,27,20211001083047
202109,0010VDE21900,1,1574191,6.70,85.45,86301,24,20211001083047
202109,0010VDE22000,1,1818543,6.75,100.17,86218,28,20211001083047
202109,0010VDE22100,1,1629613,5.81,82.00,86307,16,20211001083047
202109,0010VDE22200,1,1490651,6.41,81.74,86307,18,20211001083047
202109,0010VDE22300,1,1376285,6.40,87.11,86308,16,20211001083047
202109,0010VDE22400,1,1428916,7.63,78.46,86231,16,20211001083047
202109,0010VDE22500,1,1315960,10.63,83.24,86313,14,20211001083047
202109,0010VDE22600,1,1446347,8.03,86.49,86239,31,20211001083047
202109,0010VDE22700,1,25,6.14,94.98,86306,17,20211001083047
202109,0010VDE22710,1,-1,-1.00,-1.00,65422,20,20211001083047
202109,0010VDE22720,1,104018,5.82,35.80,65421,24,20211001083047
202109,0010VDE22800,1,1754448,7.55,86.23,86305,19,20211001083047
202109,0010VDE22900,1,1593548,6.30,90.80,86305,20,20211001083047
202109,0010VDE23000,1,1678793,6.01,100.47,86305,19,20211001083047
202109,0010VDE23010,1,63498,1.91,92.33,65511,7,20211001083047
202109,0010VDE23020,1,4766,21.81,25.45,84409,1263,20211001083047
202109,0010VDE23100,1,1394279,6.83,82.67,86307,18,20211001083047
202109,0010VDE23300,1,1299585,6.89,91.79,86304,21,20211001083047
202109,0010VDE23400,1,2176738,7.32,88.84,86300,24,20211001083047
202109,0010VDE23500,1,1145566,6.55,98.42,86286,38,20211001083047
202109,0010VDE23600,1,1167310,5.73,96.29,86309,16,20211001083047
202109,0010VDE23610,1,58090,8.24,72.04,61064,3770,20211001083047
202109,0010VDE23620,1,165943,6.47,53.63,61088,3828,20211001083047
202109,0010VDE23700,1,1110864,9.91,89.83,86311,15,20211001083047
202109,0010VDE23800,1,1145127,6.93,85.92,86299,26,20211001083047
202109,0010VDE23900,1,543563,3.84,91.24,86277,47,20211001083047
202109,0010VDE24000,1,861819,8.05,92.90,86309,17,20211001083047
202109,0010VDE24100,1,1003216,7.31,82.80,86252,73,20211001083047
202109,0010VDE24200,1,632734,7.09,91.23,86145,165,20211001083047
202109,0010VDE24300,1,1331529,7.23,95.29,86065,20,20211001083047
202109,0010VDE24400,1,1317255,7.76,75.90,86306,19,20211001083047
202109,0010VDE24500,1,1151002,5.79,94.02,86306,19,20211001083047
202109,0010VDE24600,1,1106860,5.65,89.50,86306,19,20211001083047
202109,0010VDE24700,1,1127815,7.69,87.40,86263,62,20211001083047
202109,0010VDE24800,1,735202,7.75,92.15,81225,3822,20211001083047
202109,0010VDE24900,1,1500069,17.73,89.07,86306,19,20211001083047
202109,0010VDE25000,1,1431426,6.41,118.38,86306,19,20211001083047
202109,0010VDE25100,1,1346075,7.56,97.51,86299,25,20211001083047
202109,0010VDE25200,1,1423916,7.63,91.56,86306,19,20211001083047
202109,0010VDE25300,1,1310310,7.60,125.24,86306,19,20211001083047
202109,0010VDE25310,1,59347,3.49,64.50,65426,18,20211001083047
202109,0010VDE25320,1,83980,7.15,75.10,65111,321,20211001083047
202109,0010VDE25450,1,1439352,7.41,95.72,86313,14,20211001083047
202109,0010VDE25500,1,190046,6.41,112.91,86306,18,20211001083047
202109,0010VDE25600,1,581305,12.64,93.31,86307,18,20211001083047
202109,0010VDE25610,1,-1,-1.00,-1.00,0,132,20211001083047
202109,0010VDE25700,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE25800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE25810,1,-1,-1.00,-1.00,86232,17,20211001083047
202109,0010VDE25900,1,1231030,10.90,90.44,86259,65,20211001083047
202109,0010VDE26000,1,4,20.75,68.75,86299,20,20211001083047
202109,0010VDE26100,1,1489985,6.92,95.58,86305,20,20211001083047
202109,0010VDE26200,1,-1,-1.00,-1.00,86307,15,20211001083047
202109,0010VDE26300,1,2281787,7.84,87.63,86309,17,20211001083047
202109,0010VDE26310,1,229636,6.85,57.05,65427,18,20211001083047
202109,0010VDE26311,1,419459,7.60,46.19,86306,19,20211001083047
202109,0010VDE26350,1,2337628,5.91,93.86,86304,20,20211001083047
202109,0010VDE26400,1,2277828,7.47,106.83,86290,34,20211001083047
202109,0010VDE26500,1,2557711,10.23,81.19,86305,19,20211001083047
202109,0010VDE26600,1,2643179,8.89,87.88,85882,167,20211001083047
202109,0010VDE26700,1,2515777,7.91,94.83,86307,18,20211001083047
202109,0010VDE26750,1,1341134,6.66,92.05,86287,21,20211001083047
202109,0010VDE26800,1,1452524,7.03,92.18,86305,17,20211001083047
202109,0010VDE26900,1,2208127,12.27,88.81,86220,103,20211001083047
202109,0010VDE27000,1,2222660,8.37,84.51,86308,17,20211001083047
202109,0010VDE27100,1,2157381,11.60,96.37,86301,23,20211001083047
202109,0010VDE27150,1,2466890,7.02,97.80,86305,19,20211001083047
202109,0010VDE27200,1,911454,8.81,110.19,86305,17,20211001083047
202109,0010VDE27300,1,1687162,6.53,90.47,86303,21,20211001083047
202109,0010VDE27310,1,-1,-1.00,-1.00,64782,16,20211001083047
202109,0010VDE27320,1,-1,-1.00,-1.00,64782,16,20211001083047
202109,0010VDE27400,1,180427,12.05,103.30,86300,22,20211001083047
202109,0010VDE27500,1,1867134,11.31,89.03,86249,73,20211001083047
202109,0010VDE27600,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE27610,1,264035,3.56,82.22,86384,14,20211001083047
202109,0010VDE27700,1,2069290,8.21,89.89,86272,26,20211001083047
202109,0010VDE27710,1,154637,4.46,66.03,65507,11,20211001083047
202109,0010VDE27720,1,581715,14.36,52.02,86050,330,20211001083047
202109,0010VDE27800,1,2427425,12.85,78.84,86379,15,20211001083047
202109,0010VDE27900,1,2533537,12.24,95.21,86380,18,20211001083047
202109,0010VDE28000,1,1823909,12.73,88.96,86374,23,20211001083047
202109,0010VDE28200,1,2341171,17.17,84.91,86383,14,20211001083047
202109,0010VDE28300,1,2429679,14.63,87.16,86386,12,20211001083047
202109,0010VDE28400,1,2603995,18.70,80.70,86385,13,20211001083047
202109,0010VDE28500,1,1793005,19.86,80.37,86387,11,20211001083047
202109,0010VDE28600,1,2683328,21.40,80.88,86389,10,20211001083047
202109,0010VDE28700,1,2633026,18.94,67.95,86388,10,20211001083047
202109,0010VDE28800,1,2584974,11.20,78.03,86393,6,20211001083047
202109,0010VDE28900,1,2537048,10.73,90.85,86387,11,20211001083047
202109,0010VDE29000,1,2464653,11.58,88.72,86388,11,20211001083047
202109,0010VDE29010,1,344086,12.07,37.50,86247,146,20211001083047
202109,0010VDE29020,1,411989,9.53,36.60,86372,26,20211001083047
202109,0010VDE29100,1,2496144,9.13,93.41,86385,13,20211001083047
202109,0010VDE29200,1,1964266,8.58,86.93,86182,12,20211001083047
202109,0010VDE29300,1,2109653,15.92,85.12,84674,74,20211001083047
202109,0010VDE29310,1,58668,4.57,50.10,33594,4,20211001083047
202109,0010VDE29320,1,260815,6.08,61.63,86361,36,20211001083047
202109,0010VDE29400,1,2555684,9.87,86.37,86388,10,20211001083047
202109,0010VDE29500,1,2499762,11.53,85.50,86375,23,20211001083047
202109,0010VDE29600,1,2186238,8.56,82.93,86386,12,20211001083047
202109,0010VDE29610,1,55066,7.07,33.82,33519,13,20211001083047
202109,0010VDE29611,1,115420,3.56,66.10,86292,40,20211001083047
202109,0010VDE29620,1,1072,13.55,37.62,0,484,20211001083047
202109,0010VDE29650,1,2862119,4.15,82.96,86357,39,20211001083047
202109,0010VDE29800,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE29900,1,2509616,9.66,79.52,85075,1219,20211001083047
202109,0010VDE30000,1,2766949,11.91,77.25,86386,12,20211001083047
202109,0010VDE30010,1,53374,6.78,40.26,33596,3,20211001083047
202109,0010VDE30100,1,2738572,18.01,74.41,86385,13,20211001083047
202109,0010VDE30110,1,163994,5.98,54.46,86381,17,20211001083047
202109,0010VDE30200,1,2723893,23.38,69.83,86378,20,20211001083047
202109,0010VDE30300,1,-1,-1.00,-1.00,0,0,20211001083047
202109,0010VDE30400,1,1388718,17.62,74.53,41492,17,20211001083047
202109,0010VDE30450,1,2529159,16.33,71.83,86388,10,20211001083047
202109,0010VDE30500,1,2630199,14.04,79.78,86383,15,20211001083047
202109,0010VDE30600,1,836670,11.99,79.62,41632,26,20211001083047
